"comparison","total_genes","sig_genes","up_regulated","down_regulated","max_log2fc","min_padj"
"LumA vs Her2",36962,8105,5124,2981,9.67537696704126,1.22136677703641e-150
"LumA vs LumB",36962,4354,3436,918,5.3278951202994,1.04900169132904e-96
"LumA vs Basal",36962,11530,3533,7997,12.3399686172677,0
"LumA vs Normal",36962,6119,3259,2860,10.9692554599387,8.08507966201478e-134
"Her2 vs LumB",36962,4789,2737,2052,11.1033176142839,3.16214724254371e-202
"Her2 vs Basal",36962,11115,2414,8701,10.2893567429764,6.01226553740543e-269
"Her2 vs Normal",36962,5853,2241,3612,10.933466572328,8.8316992191707e-79
"LumB vs Basal",36962,13060,3047,10013,12.3865880260739,0
"LumB vs Normal",36962,7706,2731,4975,13.3418206992273,4.89412584511039e-134
"Basal vs Normal",36962,9577,7091,2486,11.6655524700448,9.58762639729608e-87
